	1	2	3	4	5	6	7	8	9	10	11	12
A	A1	C3	G2	sneg	NA	NA	NA	NA	NA	NA	NA	NA
B	A2	E1	G3	NA	NA	NA	NA	NA	NA	NA	NA	NA
C	A3	E2	A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
D	B1	E3	B4	NA	NA	NA	NA	NA	NA	NA	NA	NA
E	B2	F1	C4	NA	NA	NA	NA	NA	NA	NA	NA	NA
F	B3	F2	E4	NA	NA	NA	NA	NA	NA	NA	NA	NA
G	C1	F3	F4	NA	NA	NA	NA	NA	NA	NA	NA	NA
H	C2	G1	G4	NA	NA	NA	NA	NA	NA	NA	NA	NA
