"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV63"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"	NA
"ASV64"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	NA
"ASV65"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	NA	NA	NA
"ASV66"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA
"ASV67"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"frigoritolerans"
"ASV68"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA
"ASV69"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	NA
"ASV70"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"ASV71"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"	NA
"ASV72"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"BIrii41"	NA	NA
"ASV74"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	NA	NA
"ASV75"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus Udaeobacter"	NA
"ASV76"	"Bacteria"	"Actinobacteriota"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"	NA
"ASV77"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"	NA
"ASV78"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Romboutsia"	NA
"ASV79"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Isosphaerales"	"Isosphaeraceae"	"Candidatus Nostocoida"	NA
"ASV80"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Elsterales"	NA	NA	NA
"ASV81"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"WD260"	NA	NA	NA
"ASV82"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	NA
"ASV83"	"Bacteria"	"Chloroflexi"	"KD4-96"	NA	NA	NA	NA
"ASV84"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Koribacteraceae"	"Candidatus Koribacter"	NA
"ASV86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"	NA
"ASV87"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae (Subgroup 1)"	"Acidipila-Silvibacterium"	NA
"ASV88"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA	NA
"ASV89"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	NA	NA	NA
"ASV91"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	NA	NA
"ASV92"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Nitrosomonadaceae"	"Ellin6067"	NA
